index,date,location
46,28 Jan 1996,Utrecht 	Netherlands 	Prins Van Oranjehall
47,30 Jan 1996,Dortmund 	Germany 	Westfalenhalle
48,31 Jan 1996,Frankfurt 	Festhalle
49,01 Feb 1996,Berlin 	Deutschlandhalle
50,03 Feb 1996,Prague 	Czech Republic 	Sportovni Hala
51,04 Feb 1996,Vienna 	Austria 	Stadthalle
52,06 Feb 1996,Ljubljana 	Slovenia 	Hala Tivoli
53,08 Feb 1996,Milan 	Italy 	Palatrussardi
54,09 Feb 1996,Bologna 	Palasport
55,11 Feb 1996,Lyon 	France 	Halle Tony Garnier
56,13 Feb 1996,Geneva 	Switzerland 	Arena
57,14 Feb 1996,Zurich 	Hallenstadion
58,16 Feb 1996,Amnéville 	France 	Le Galaxie
59,17 Feb 1996,Lille 	Le Zénith
60,18 Feb 1996,Rennes 	Salle Expos-Aeroport
61,20 Feb 1996,Paris 	Palais Omnisports de Paris-Bercy
62,29 Sep 1997,"Guthrie Theater, Minneapolis"
63,07 Oct 1999,"House of Blues,  Las Vegas  (cancelled due to Alain Whyte's back injuries)"
64,18 Oct 1999,"Dresden, Germany Schlachthof (cancelled because the venue was unsuitable for a concert)"
65,17 Feb 2000,"Pittsburgh, PA - A.J. Palumbo Center (Morrissey cancelled Pittsburgh due to ""a migraine and back spasms"" They said he would reschedule. via murray)


From Passions Just Like Mine:


Postponed and never rescheduled.

Morrissey may have been referring to this concert when he told the Pittsbugh Post-Gazette in 2013: ""I arrived for the soundcheck and I was told that the night had to be 'pulled' because the stage wasn't safe. There were a lot of people queuing in the rain, and backstage was abysmal -- I don't think there was even a toilet. When you're faced with such situations you feel so much anger with local promoters because they charge such high ticket prices yet they have no concern for either the comfort of the artist or the safety of the audience ... they think the night will just roll along on enthusiasm, which is wrong."""
66,20 Aug 2002,"Anchorage, AK - Egan Center"
67,31 Aug 2002,"Spokane, WA - The Met Theater"
68,26 Aug 2002,"Calgary, AL - MacEwan Hall"
69,27 Aug 2002,"Edmonton, AL - Red's"
70,29 Aug 2002,"Vancouver, BC - The Commodore Ballroom"
71,24 May 2004,"Los Angeles, CA - The Late Late Show with Craig Kilborn  (read about the cancellation)"
72,25 May 2004,"Los Angeles, CA - The Late Late Show with Craig Kilborn"
73,25  May 2004,"Los Angeles, CA - Pepsi Smash taping, WB"
74,26 May 2004,"Los Angeles, CA - The Late Late Show with Craig Kilborn"
75,27 May 2004,"Los Angeles, CA - The Late Late Show with Craig Kilborn"
76,28 May 2004,"Los Angeles, CA - The Late Late Show with Craig Kilborn"
77,14 Jul 2004,"Auburn, WA - White River Amphitheatre"
78,17 Jul 2004,"Mountain View, CA - Shoreline Amphitheatre"
79,20 Jul 2004,"San Diego, CA - Coors Amphitheater"
80,26 Jul 2004,"Greenwood Village, CO - Coors Amphitheater"
81,29 Jul 2004,"Tinley Park, IL - Tweeter Center"
82,01 Aug 2004,Naeba - Fuji Rock Festival
83,02 Aug 2004,"Clarkston, MI - DTE Energy Music Theatre"
84,05 Aug 2004,"Toronto, ON - Molson Amphitheatre"
85,07 Aug 2004,Benicàssim - Benicàssim Festival
86,09 Aug 2004,"Cuyahoga Falls, OH - Blossom Music Center"
87,12 Aug 2004,"Columbia, MD - Merriweather Post"
88,14 Aug 2004,"Mansfield, MA - Tweeter Center"
89,16 Aug 2004,"New York City, NY - Randalls Island"
90,18 Aug 2004,"Camden, NJ - Tweeter Center at the Waterfront"
91,21 Aug 2004,"Atlanta, GA - Turner Field"
92,24 Aug 2004,"Dallas, TX - Smirnoff Music Center"
93,27 Aug 2004,Paris - Rock en Seine Festival (I can only speculate this show was cancelled because Morrissey thought he would be recovering from Lollapalooza or that the dates were too close for comfort.  The Roots ended up replacing Morrissey on the bill.)
94,18 Sep 2004,"Devore, CA - KROQ Inland Invasion 4 (Morrissey cancelled due to illness... but he actually made it up to KROQ fans for their Halloween show.  Siouxsie and Billy Idol headlined in Morrissey's place.)"
95,19 Sep 2004,"San Francisco, CA - Golden Gate Park - Now & Zen Fest 2004 (Morrissey's illness continues, read about it on morrissey-solo.com)"
96,28 Oct 2004,"Houston, TX - Verizon Wireless Theatre (Cancelled due to ""strained vocal chords""... What's funny is that the cancellation would continue, according to houstonpress.com: ""The original [rescheduled] date for Beaumont was December 2, 2012, later postponed to February 16, 2013 and pushed again to April 12, 2013. He finally appeared in person on May 25, 2014, more than two years after the original date."")"
97,29 Oct 2004,"Austin, TX - The Backyard (Strained vocal chords continues)"
98,11 Jun 2005,"Nokia Isle of Wight Music Festival - Newport, England
From nme.com: 

A statement reads: “Morrissey will regrettably not be appearing at the Isle Of Wight Festival on the 11th of June as scheduled. The pressure of preparing the new album and losing his drummer earlier this month has made it impossible to do the gig without massively compromising both the gig and the album. Apologies to all the fans, the organisers and the people of the Isle Of Wight.”"
99,15 Mar 2006,"Odessa, TX - Dos Amigos"
100,23 Mar 2006,"London - ""Friday Night With Jonathan Ross"""
101,12 Jul   200,"6 	Sesto Fiorentino, Firenze - Villa Solaria"
102,14 Jul 2006,Napoli - Neapolis Festival
103,15 Jul  2006,"Zafferana Etnea, Catania - Anfiteatro"
104,26 Jun 2007,"Boston, MA - Bank of America Pavilion (7 songs only)"
105,27 Jun 2007,"Northampton, MA - Pines Theatre"
106,29 Jun 2007,"Philadelphia, PA - Mann Center"
107,30 Jun 2007,"New York, NY - Madison Square Garden"
108,03 Jul 2007,"Baltimore, MD - Rams Head"
109,05 Jul 2007,"Atlantic City, NJ - Borgata"
110,06 Jul 2007,"Holmdel, NJ - PNC Bank Arts Center"
111,02 Oct 2007,"Los Angeles, CA - Hollywood Palladium"
112,04 Oct 2007,"Los Angeles, CA - Hollywood Palladium"
113,08 Nov 2007,"Miami, FL - The Fillmore"
114,26 Jan 2008,"London - Roundhouse (they tried to move the show to the Forum, but Morrissey refused, because he played there in 1999 and had no desire to return, according to ratty)"
115,27 Jan 2008,London - Roundhouse
116,28 Feb 2009,"Boca Raton, FL - Mizner Park  (illness)"
117,01 Mar2009	O,"rlando, FL - Hard Rock Live"
118,03 Mar 2009,"Jacksonville, FL - Florida Theatre"
119,04 Mar 2009,"St. Petersburg, FL - Jannus Landing Courtyard"
120,06 Mar 2009,"Myrtle Beach, SC - House of Blues 	
(show was cut short)"
121,07 Mar  2009,"Atlanta, GA - Variety Playhouse"
122,09 Mar 2009,"Asheville, NC - Orange Peel (still ill)"
123,17 Apr 2009,"Coachella 2009 (set cut short because of ""smell of burning animals"")"
124,18 Apr 2009,"Oakland, CA - Paramount Theatre (illness)"
125,11 May  2009,London - Royal Albert Hall (illness)
126,13 May  2009,Birmingham - Symphony Hall
127,25 May 2009,Salisbury - City Hall
128,26 May 2009,London - Mile End Troxy Ballroom
129,28 May  2009,London - Brixton 02 Academy
130,29 May  2009,London - Brixton 02 Academy
131,30 May 2009,London - Brixton 02 Academy
132,02 Jun 2009,Paris - Le Grand Rex (Doctor orders Morrissey to not sing)
133,03 Jun 2009,Lille - Aéronef
134,13 Jul 2009,Rimini - Velvet (Postponed)
135,14 Jul 2009,Rimini - Velvet (Postponed)
136,24 Oct 2009,"Oasis Leisure Centre, Swindon, England (After the first song, Morrissey collapsed and rushed to the hospital - read about it on theguardian.com)"
137,26 Oct 2009,Bournemouth - Opera House (cancelled because of Morrissey's hospitalization in Swindon).
138,07 Nov 2009,"Echo Arena, Liverpool (show stopped at song two because someone threw and hit Morrissey with a bottle)."
139,05 Dec 2009,"Indio, CA - Fantasy Springs (Morrissey has blown out his voice)"
140,14 Jul 2011,"Helsingborg - Sundspärlan (Cancelled due to rain... even though ""the promoter wanted it to go ahead as gigs in the rain have been played on the same stage without any major problems"")"
141,10 Nov 2011,"Chicago, IL - Congress Theater	(postponed due to a visa administration error)"
142,23 Nov 2011,"Los Angeles, CA - ""Jimmy Kimmel Live!"""
143,01 Dec 2011,"Oakland, CA - Fox Theater"
144,24 Jul 2012,"Cascais - Cascais Music Festival 

Morrissey's mother was hospitalized. Can't really blame Morrissey's humanity for suddenly stopping his tour to fly back to England to see his mother in the hospital.  Originally it was only going to be a few days before he resume his tour... but unfortunately the remainder of the 2012 dates were all postponed until 2013. Those 2013 announced were also cancelled due to ""a series of medical mishaps"", but you can read all about that in the 2013 entries."
145,23 Oct 2012,"Pittsburgh, PA - Heinz Hall"
146,24 Oct 2012,"Columbus, OH - LC Indoor Pavilion"
147,26 Oct 2012,"Flint, MI - James H Whiting Auditorium"
148,27 Oct 2012,"Chicago, IL - The Chicago Theatre"
149,29 Oct 2012,"Minneapolis, MN - Orpheum Theatre"
150,30 Oct 2012,"Clear Lake, IA - Surf Ballroom"
151,01 Nov 2012,"Lincoln, NE - Rococo Theatre"
152,03 Nov 2012,"Denver, CO - Ellie Caulkins Opera House"
153,04 Nov 2012,"Salt Lake City, UT - Kingsbury Hall at University of Utah"
154,08 Nov 2012,"Seattle, WA - Moore Theatre"
155,10 Nov 2012,"Bellingham, WA - Mount Baker Theatre"
156,11 Nov 2012,"Portland, OR - Arlene Schnitzer Concert Hall"
157,14 Nov 2012,"Davis, CA - Robert Mondavi Center at UC Davis"
158,16 Nov 2012,"San Francisco, CA - Davies Symphony Hall"
159,17 Nov 2012,"Reno, NV - John Ascuaga's Nugget - Rose Ballroom"
160,21 Nov 2012,"Tempe, AZ - Marquee Theater"
161,23 Nov 2012,"Las Vegas, NV - The Cosmopolitan of Las Vegas at The Chelsea Ballroom"
162,24 Nov 2012,"Los Angeles, CA - STAPLES Center"
163,27 Nov 2012,"El Paso, TX - Tricky Falls"
164,28 Nov 2012,"Wichita Falls, TX - Kay Yeager Coliseum"
165,30 Nov 2012,"Pharr, TX - Pharr Events Center"
166,01 Dec 2012,"Beaumont, TX - Jefferson Theatre"
167,03 Dec 2012,"Atlanta, GA - Cobb Energy Performing Arts Centre"
168,05 Dec 2012,"Asheville, NC - The Orange Peel"
169,07 Dec 2012,"North Bethesda, MD - The Music Center at Strathmore"
170,08 Dec 2012,"Atlantic City, NJ - House of Blues at Showboat Atlantic City"
171,24 Jan  2013,"Flint, MI - James H Whiting Auditorium"
172,25 Jan  2013,"Minneapolis, MN - Orpheum Theatre"
173,26 Jan  2013,"Chicago, IL - The Chicago Theatre"
174,28 Jan 2013,"Asheville, NC - The Orange Peel"
175,29 Jan  2013,"Nashville, TN - Ryman Auditorium"
176,31 Jan  2013,"Atlanta, GA - Cobb Energy Performing Arts Centre"
177,02 Feb  2013,"Lawrence, KS - Liberty Hall"
178,05 Feb  2013,"Clear Lake, IA - Surf Ballroom"
179,06 Feb 2013,"Lincoln, NE - Rococo Theatre"
180,09 Feb 2013,"Las Vegas, NV - The Cosmopolitan"
181,10 Feb  2013,"Tempe, AZ - Marquee Theater"
182,12 Feb   201,"3	El Paso, TX - Tricky Falls"
183,13 Feb   201,"3	Austin, TX - Austin Music Hall"
184,15 Feb   201,"3	Pharr, TX - Pharr Events Center"
185,16 Feb   201,"3	Beaumont, TX - Jefferson Theatre"
186,18 Feb   201,"3	Dallas, TX - Palladium Ballroom"
187,21 Feb   201,"3	Denver, CO - Temple Hoyne Buell Theatre"
188,22 Feb   201,"3	Salt Lake City, UT - Kingsbury Hall at University of Utah"
189,24 Feb  2013,"San Francisco, CA - Davies Symphony Hall"
190,26 Feb 2013,"Los Angeles, CA - Jimmy Kimmel Live (cancelled due to Duck Dynasty; hollywoodreporter.com)"
191,02 Mar 2013,"Sparks, NV - John Ascuaga's Nugget - Rose Ballroom"
192,09 Mar 2013,"San Francisco, CA - The Regency Ballroom"
193,14  Mar 2013,Mexico City - Vive Latino Festival
194,18 Mar 2013,"Lawrence, KS - Liberty Hall"
195,19 Mar 2013,"Lincoln, NE - Rococo Theatre"
196,22 Mar 2013,"Minneapolis, MN - Orpheum Theatre"
197,23 Mar 2013,"Chicago, IL - The Chicago Theatre"
198,27 Mar 2013,"Clear Lake, IA - Surf Ballroom"
199,29 Mar 2013,"Nashville, TN - Ryman Auditorium"
200,30 Mar 2013,"Atlanta, GA - Cobb Energy Performing Arts Centre"
201,02 Apr 2013,"Asheville, NC - The Orange Peel"
202,03 Apr 2013,"Richmond, VA - The National"
203,05 Apr 2013,"Washington, DC - The National Theatre"
204,06 Apr 2013,"Philadelphia, PA - Tower Theater"
205,08 Apr 2013,"Flint, MI - James H Whiting Auditorium"
206,09 Apr 2013,"Indianapolis, IN - Murat Theatre"
207,12 Apr 2013,"Beaumont, TX - Jefferson Theatre"
208,13 Apr 2013,"Pharr, TX - Pharr Events Center"
209,15 Apr 2013,"Dallas, TX - Palladium Ballroom"
210,16 Apr 2013,"Austin, TX - Austin Music Hall"
211,19 Apr 2013,"Tempe, AZ - Marquee Theater"
212,20 Apr 2013,"Las Vegas, NV - The Cosmopolitan"
213,23 Apr 2013,"El Paso, TX - Tricky Falls"
214,26 Apr 2013,"Denver, CO - Temple Hoyne Buell Theatre"
215,28 Apr 2013,"Salt Lake City, UT - Kingsbury Hall at University of Utah"
216,30 Apr  2013,"San Francisco, CA - The Warfield"
217,01 May  2013,"San Francisco, CA - The Regency Ballroom"
218,09 Jul  2013,Lima - Jockey Club
219,10 Jul   201,3 	Lima - Jockey Club
220,15 Jul  2013,Viña del Mar - Espacio Sporting Club
221,16 Jul  2013,Rancagua - Monticello Grand Casino
222,18 Jul  2013,Puerto Montt - Arena Puerto Montt
223,19 Jul  2013,Concepción - Gimnasio Municipal
224,22 Jul  2013,Santiago - Teatro La Cúpula
225,23 Jul  2013,Santiago - Teatro La Cúpula
226,25 Jul  2013,Santiago - Amanda Club (private event)
227,26 Jul   201,3	Santiago - Movistar Arena
228,28 Jul  2013,Buenos Aires - Tecnópolis
229,30 Jul  2013,Sao Paulo - Credicard Hall
230,02 Aug 2013,Brasilia - Espaco Iguatemi
231,04 Aug 2013,Rio de Janeiro - Citibank Hall
232,04 Jun 2014,"Atlanta, GA - Cobb Energy Centre (cancelled because Morrissey blamed Kristeen Young for giving him the cold)"
233,06 Jun 2014,"Atlantic City, NJ - Revel Ovation Hall"
234,07 Jun 2014,"Boston, MA - Boston Opera House"
235,10 Jun 2014,"Baltimore, MD - Meyerhoff Symphony Hall"
236,11 Jun 2014,"Washington, DC - Lincoln Theatre"
237,13 Jun 2014,"Chicago, IL - Civic Opera House"
238,14 Jun 2014,"Flint, MI - James Whiting Auditorium"
239,16 Jun 2014,"Lewiston, NY - Artpark Main Stage Theater"
240,17 Jun 2014,"Wilmington, DE - Grand Opera House"
241,19 Jun 2014,"Hershey, PA - Hershey Theatre"
242,21 Jun 2014,"New York, NY - Barclays Center"
243,22 Jun 2014,"Atlantic City, NJ - Revel Ovation Hall"
244,24 Jun 2014,"Baltimore, MD - Meyerhoff Symphony Hall"
245,25 Jun 2014,"Washington, DC - Lincoln Theatre"
246,31 Oct 2014,Lyon - Le Radiant
247,02 Nov 2014,Lausanne - Les Docks
248,03 Nov 2014,Basel - Event Hall Messe
249,19 Nov 2014,"Stodola, Warsaw - Poland (Walked off stage 25 mins, details)"
250,05 Dec 2014,"Tae Kwon Do Arena, Athens -  Greece (postponed for missing a flight)"
251,07 Dec 2014,"Volkswagen Arena, Istanbul - Turkey (postponed for logistics issues)"
252,13 Dec 2014,"Les Docks,  Lausanne - Switzerland"
253,15 Dec 2014,"De Oosterpoort, Groningen -   Netherlands (postponed)"
254,16 Dec 2014,Tilburg - 013 (postponed)
255,10 Mar 2015,Tilburg - 013 	(postponed to March 29)
256,27 Mar 2015,Alan Carr: Chatty Man appearance (stuck in Belfast)
257,19	Aug 2016,Istanbul - KüçükÇiftlik Park	 (cancelled)
258,01 Oct 2016,Yokohama - Bay Hall	 (cancelled)
259,18 Oct 2016,Bangkok - Moonstar Studio (cancelled)
260,14 Nov 2016,"Boulder, CO (cancelled) (keyboardist Gustavo Manzur collapsed and was hospitalized)"
261,16 Nov 2016,"Dallas, TX - McFarlin Auditorium  (postponed)"
262,17 Nov 2016,"San Antonio, TX - Tobin Center for the Performing Arts (postponed)"
263,19 Nov 2016,"Houston, TX - White Oak Music Hall  (postponed)"
264,23 Nov 2016,"El Paso, TX - Abraham Chavez Theatre (cancelled)"
265,23 Nov 2016,"Detroit, MI - Royal Oak Music Theatre (postponed)"
266,25 Nov 2016,"Cleveland, OH - State Theatre (postponed)"
267,27 Nov 2016,"Chicago, IL - Aragon Ballroom (postponed)"
268,07 Dec 2016,"Detroit, MI - Royal Oak Music Theatre	 (cancelled)"
269,09 Dec 2016,"Cleveland, OH - State Theatre (cancelled)"
270,10 Dec 2016,"Chicago, IL - Aragon Ballroom	(cancelled)"
271,14 Dec 2016,"Dallas, TX - McFarlin Auditorium	(cancelled)"
272,16 Dec 2016,"Houston, TX - White Oak Music Hall	(cancelled)"
273,17 Dec 2016,"San Antonio, TX - Majestic Theatre	(cancelled)"
274,10 Apr 2017,"Tucson, AZ - Fox Tucson Theatre  (walked off after six songs due to vocal issues)"
275,12 Apr 2017,"San Antonio, TX - Tobin Center (third San Antonio cancellation, citing ""health concerns"" via mysanantonio.com)"
276,06 Sep 2017,"Macerata Opera Festival, Italy (details)"
277,05 Nov 2017,"Paso Robles, CA - Vina Robles Amphitheatre (heater not working, announced at 8:30pm)"
278,04 Dec 2017,"Philadelphia, PA - The Fillmore	(cancelled, announced at 1:30pm)"
279,05 Dec 2017,The Late Show with Stephen Colbert (Morrissey was scheduled to appear along with guests Saoirse Ronan and Van Jones... Comedian Michelle Wolf filled in.  Additional details at morrissey-solo.com)
280,07 Dec 2017,"Boston, MA - Orpheum Theatre (cancelled, announced 12/06 at 5pm)"
281,10 Dec 2017,"KROQ Almost Acoustic Christmas 2017 (It's suggested by KROQ staff that they knew about the cancellation since Thursday, they officially announced the cancellation on Saturday at 8pm. To be fair, KROQ was hoping that conditions would improve, but it did not. The Killers will now headline, with Sad Girl added to the lineup.)"
282,16 Dec 2017,"CBS This Morning - Saturday Sessions (Although there is a 25% chance that Morrissey will cancel his Saturday Sessions, I don't think he will. The show is pre-recorded and only requires one or two songs. Based on Anthony Mason's Morrissey confirmation and Morrissey's recent feisty Der Spiegel comment, it sounded like he's feeling much better.  But who knows.  We'll find out this Saturday. Update 12/14/2017: It's possible that Morrissey will not appear live at all, but that CBS will use pre-recorded live concert footage. Update 12/17/2017: Confirmed, Morrissey did not show up. Instead, CBS used footage from Morrissey's appearance at The Anthem in Washington DC from Nov 30, before he fell ill.)"
283,04 Jul 2018,Edinburgh - Usher Hall	(Postponed)
284,07 Jul 2018,Manchester - Castlefield Bowl	(Postponed)
285,08 Jul 2018,Manchester - Castlefield Bowl	(Postponed)
286,10 Jul 2018,Portsmouth - Guildhall	(Postponed)
287,12 Jul 2018,Reading - Rivermead	(Postponed)
288,15 Jul 2018,Berlin - Mercedes-Benz Arena	(Postponed)
289,17 Jul 2018,Copenhagen - DR Koncerthuset	(Postponed)
290,19 Jul 2018,Rattvik - Dalhalla Arena	(Postponed)
291,21 Jul 2018,Helsinki - Ice Hall Black Box (Postponed)
292,05 Dec 2018,"Asunción, Paraguay - Centro de Convenciones de la Conmebol (cancelled due to food poisoning)"
293,14 Apr 2019,"Vancouver, BC - Orpheum Theatre (Postponed)"
294,15 Apr 2019,"Vancouver, BC - Orpheum Theatre (Postponed)"
295,17 Apr 2019,"Calgary, AB - Southern Alberta Jubilee Auditorium (Postponed)"
296,18 Apr 2019,"Edmonton, AB - Northern Alberta Jubilee Auditorium (Postponed)"
297,20 Apr 2019,"Saskatoon, SK - TCU Place	  (Postponed)"
298,22 Apr 2019,"Winnipeg, MB - Centennial Concert Hall	 (Postponed)"
299,16 May 1991,"Royal Concert Hall, Glasgow (called because of sore throat)"
300,18 Jun 1991,"Austin, Texas 	Coliseum (Michael T writes: ""He cancelled it while we were all waiting in line to get in."")"
301,22 Jun 1991,"Nashville, TN 	Starwood"
302,30 Jun 1991,"Pittsburgh, PA 	I.C. Light Amphitheater"
303,13 Sep 1991,"Venue Hordern Pavilion, Sydney"
304,14 Sep 1991,"Festival Hall, Melbourne"
305,19 Sep 1991,"Perth Concert Hall, Perth"
306,17 Sep 1991,"Thebarton Theatre, Adelaide"
307,01 Nov 1991,"Westwood, California - UCLA Pauley Pavilion (cancelled after 9 songs due to injured fans)"
308,12 Nov 1991,Worcester 	Worcester Centrum
309,13 Nov 1991,Albany 	Venue was never announced
310,15 Nov 1991,"New York City, 	Palace Theater"
311,16 Nov 1991,Philadelphia 	Spectrum (arena)
312,17 Nov 1991,"Washington, D.C. 	Patriot Center"
313,19 Nov 1991,Williamsburg 	College of William & Mary
314,20 Nov 1991,Chapel Hill 	Dean Smith Center
315,22 Nov 1991,Birmingham 	Alabama Theatre
316,23 Nov 1991,New Orleans 	University of New Orleans
317,25 Nov 1991,Lakeland 	Lakeland Civic Center
318,26 Nov 1991,Miami 	Venue was never announced
319,27 Jun 1992,"Glastonbury Festival, England"
320,08 Aug 1992,"Madstock - London, England 	Finsbury Park (show cut short after crowd got rowdy when Morrissey wrapped the Union Jack flag around his body)"
321,09 Aug 1992,"Madstock - London, England 	Finsbury Park (Morrissey cancelled his second Madstock appearance)"
322,08 Apr 1994,"Olympic Auditorium, Los Angeles (details: articles.latimes.com )"
323,11 Apr 1994,"Carnegie Hall, New York (details: nytimes.com )"
324,12 Apr 1994,"Carnegie Hall, New York"
325,19 Sep 1994,"Carnegie Hall, New York (rescheduled date)"
326,20 Sep 1994,"Carnegie Hall, New York (rescheduled date)"
327,29 Sep 1994,"Olympic Auditorium, Los Angeles (rescheduled date)"
328,23 Nov 1995,"King's Hall, Belfast, Northern Ireland"
329,29 Nov 1995,Aberdeen Exhibition Centre
330,30 Nov 1995,Glasgow 	Scottish Exhibition and Conference (with David Bowie)
331,03 Dec 1995,Sheffield  England Sheffield Arena
332,04 Dec 1995,Sheffield Arena
333,05 Dec 1995,Belfast  Northern Ireland King's Hall
334,06 Dec 1995,Manchester 	England  Manchester Arena
335,07 Dec 1995,Newcastle upon Tyne 	Newcastle Arena
336,08 Dec 1995,Manchester 	Manchester Arena
337,13 Dec 1995,Birmingham 	National Exhibition Centre (Hall 5)
338,17 Jan 1996,"Helsinki 	Finland 	Helsinki Ice Hall (with David Bowie, continued)"
339,19 Jan 1996,Stockholm 	Sweden 	Globe Arena
340,20 Jan 1996,Gothenburg 	Scandinavium
341,22 Jan 1996,Oslo 	Norway 	Spektrum
342,24 Jan 1996,Copenhagen 	Denmark 	Valby-Hallen
343,25 Jan 1996,Hamburg 	Germany 	Sporthalle
344,27 Jan 1996,Brussels 	Belgium 	Vorst Forest Nationaal
345,28 Jan 1996,Utrecht 	Netherlands 	Prins Van Oranjehall
346,30 Jan 1996,Dortmund 	Germany 	Westfalenhalle
347,31 Jan 1996,Frankfurt 	Festhalle
348,01 Feb 1996,Berlin 	Deutschlandhalle
349,03 Feb 1996,Prague 	Czech Republic 	Sportovni Hala
350,04 Feb 1996,Vienna 	Austria 	Stadthalle
351,06 Feb 1996,Ljubljana 	Slovenia 	Hala Tivoli
352,08 Feb 1996,Milan 	Italy 	Palatrussardi
353,09 Feb 1996,Bologna 	Palasport
354,11 Feb 1996,Lyon 	France 	Halle Tony Garnier
355,13 Feb 1996,Geneva 	Switzerland 	Arena
356,14 Feb 1996,Zurich 	Hallenstadion
357,16 Feb 1996,Amnéville 	France 	Le Galaxie
358,17 Feb 1996,Lille 	Le Zénith
359,18 Feb 1996,Rennes 	Salle Expos-Aeroport
360,20 Feb 1996,Paris 	Palais Omnisports de Paris-Bercy
361,29 Sep 1997,"Guthrie Theater, Minneapolis"
362,07 Oct 1999,"House of Blues,  Las Vegas  (cancelled due to Alain Whyte's back injuries)"
363,18 Oct 1999,"Dresden, Germany Schlachthof (cancelled because the venue was unsuitable for a concert)"
364,17 Feb 2000,"Pittsburgh, PA - A.J. Palumbo Center (Morrissey cancelled Pittsburgh due to ""a migraine and back spasms"" They said he would reschedule. via murray)


From Passions Just Like Mine:


Postponed and never rescheduled.

Morrissey may have been referring to this concert when he told the Pittsbugh Post-Gazette in 2013: ""I arrived for the soundcheck and I was told that the night had to be 'pulled' because the stage wasn't safe. There were a lot of people queuing in the rain, and backstage was abysmal -- I don't think there was even a toilet. When you're faced with such situations you feel so much anger with local promoters because they charge such high ticket prices yet they have no concern for either the comfort of the artist or the safety of the audience ... they think the night will just roll along on enthusiasm, which is wrong."""
365,20 Aug 2002,"Anchorage, AK - Egan Center"
366,31 Aug 2002,"Spokane, WA - The Met Theater"
367,26 Aug 2002,"Calgary, AL - MacEwan Hall"
368,27 Aug 2002,"Edmonton, AL - Red's"
369,29 Aug 2002,"Vancouver, BC - The Commodore Ballroom"
370,24 May 2004,"Los Angeles, CA - The Late Late Show with Craig Kilborn  (read about the cancellation)"
371,25 May 2004,"Los Angeles, CA - The Late Late Show with Craig Kilborn"
